2024-05-06 16:18:21.377 [main] [com.example.socketdemo.communicate.InfraredSocket] [80] INFO  - 2024_05_06_16_18_21_376
2024-05-06 16:18:21.378 [main] [com.example.socketdemo.communicate.InfraredSocket] [81] INFO  - \
2024-05-06 16:18:21.378 [main] [com.example.socketdemo.communicate.InfraredSocket] [82] INFO  - E:\personal_java_projects\socket-demo-client
2024-05-06 16:18:21.378 [main] [com.example.socketdemo.communicate.InfraredSocket] [86] INFO  - E:\personal_java_projects\socket-demo-client
2024-05-06 16:18:21.380 [main] [com.example.socketdemo.communicate.InfraredSocket] [89] INFO  - 运行时间为 0ms
2024-05-06 16:20:57.752 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:24:56.501 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:24:56.589 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_24_56_505
2024-05-06 16:24:56.591 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 118ms
2024-05-06 16:25:26.786 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:25:26.875 [main] [com.example.socketdemo.communicate.InfraredSocket] [62] ERROR - 图片保存失败！null
2024-05-06 16:25:26.876 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 116ms
2024-05-06 16:27:28.373 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:27:28.470 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_27_28_377.jpg
2024-05-06 16:27:28.471 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 127ms
2024-05-06 16:27:37.445 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:27:37.554 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_27_37_448.jpg
2024-05-06 16:27:37.556 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 137ms
2024-05-06 16:27:44.597 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:27:44.705 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_27_44_601.jpg
2024-05-06 16:27:44.706 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 135ms
2024-05-06 16:27:48.582 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:27:48.674 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_27_48_586.jpg
2024-05-06 16:27:48.675 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 119ms
2024-05-06 16:27:53.023 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:27:53.107 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_27_53_027.jpg
2024-05-06 16:27:53.108 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 112ms
2024-05-06 16:27:56.930 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:27:57.028 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_27_56_933.jpg
2024-05-06 16:27:57.029 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 125ms
2024-05-06 16:28:47.543 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:28:47.630 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_28_47_547.jpg
2024-05-06 16:28:47.631 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 114ms
2024-05-06 16:28:48.800 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_28_48_645.jpg
2024-05-06 16:28:48.800 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 155ms
2024-05-06 16:28:49.903 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_28_49_804.jpg
2024-05-06 16:28:49.903 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 99ms
2024-05-06 16:28:51.021 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_28_50_917.jpg
2024-05-06 16:28:51.022 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 105ms
2024-05-06 16:28:52.144 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_28_52_033.jpg
2024-05-06 16:28:52.144 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 111ms
2024-05-06 16:28:53.263 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_28_53_147.jpg
2024-05-06 16:28:53.263 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 116ms
2024-05-06 16:28:54.345 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_28_54_266.jpg
2024-05-06 16:28:54.345 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 79ms
2024-05-06 16:28:55.458 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_28_55_347.jpg
2024-05-06 16:28:55.458 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 111ms
2024-05-06 16:28:56.541 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_28_56_460.jpg
2024-05-06 16:28:56.541 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 81ms
2024-05-06 16:28:57.619 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_28_57_543.jpg
2024-05-06 16:28:57.619 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 77ms
2024-05-06 16:31:44.862 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:31:44.943 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_31_44_867.jpg
2024-05-06 16:31:44.944 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 110ms
2024-05-06 16:31:46.060 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_31_45_947.jpg
2024-05-06 16:31:46.060 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 114ms
2024-05-06 16:31:47.147 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_31_47_065.jpg
2024-05-06 16:31:47.147 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 82ms
2024-05-06 16:31:48.273 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_31_48_155.jpg
2024-05-06 16:31:48.273 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 118ms
2024-05-06 16:31:49.390 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_31_49_277.jpg
2024-05-06 16:31:49.390 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 113ms
2024-05-06 16:31:50.504 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_31_50_393.jpg
2024-05-06 16:31:50.504 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 111ms
2024-05-06 16:31:51.576 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_31_51_505.jpg
2024-05-06 16:31:51.576 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 71ms
2024-05-06 16:31:52.704 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_31_52_589.jpg
2024-05-06 16:31:52.705 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 116ms
2024-05-06 16:31:53.817 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_31_53_711.jpg
2024-05-06 16:31:53.817 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 106ms
2024-05-06 16:31:54.904 [main] [com.example.socketdemo.communicate.InfraredSocket] [60] INFO  - 图片保存成功：E:\personal_java_projects\socket-demo-client\capture\infrared\2024_05_06_16_31_54_825.jpg
2024-05-06 16:31:54.905 [main] [com.example.socketdemo.communicate.InfraredSocket] [69] INFO  - 红外相机抓拍时间为 80ms
2024-05-06 16:47:12.016 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:47:12.021 [main] [com.example.socketdemo.communicate.InfraredSocket] [76] INFO  - filePath.getFileName()2024_05_06_16_47_12_020.jpg
2024-05-06 16:47:12.021 [main] [com.example.socketdemo.communicate.InfraredSocket] [77] INFO  - filePath.getParent()E:\personal_java_projects\socket-demo-client\capture\ce
