2024-05-07 12:26:52.622 [main] [com.example.socketdemo.test.FTPTest] [20] INFO  - E:\ftp_test/
2024-05-07 12:27:56.622 [main] [com.example.socketdemo.test.FTPTest] [21] INFO  - E:/ftp_test/
2024-05-07 12:32:19.503 [main] [com.example.socketdemo.test.FTPTest] [21] INFO  - E:/ftp_test/
2024-05-07 12:32:34.931 [main] [com.example.socketdemo.test.FTPTest] [21] INFO  - E:/ftp_test/
2024-05-07 12:32:52.679 [main] [com.example.socketdemo.test.FTPTest] [21] INFO  - E:/ftp_test/
2024-05-07 12:33:12.553 [main] [com.example.socketdemo.test.FTPTest] [21] INFO  - E:/ftp_test/
2024-05-07 12:37:13.787 [main] [com.example.socketdemo.test.FTPTest] [23] INFO  - E:/ftp_test/
2024-05-07 12:37:13.799 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - aaa
2024-05-07 12:37:13.799 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - bbb
2024-05-07 12:37:13.799 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - ccc
2024-05-07 12:37:13.799 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - aaa
2024-05-07 12:37:13.799 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - bbb
2024-05-07 12:37:13.799 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - ccc
2024-05-07 12:37:13.799 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - 
2024-05-07 12:37:13.800 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - aaa
2024-05-07 12:37:13.800 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - bbb
2024-05-07 12:37:13.800 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - ccc
2024-05-07 12:37:13.800 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - 
2024-05-07 12:37:13.800 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - aaa
2024-05-07 12:37:13.800 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - bbb
2024-05-07 12:37:13.800 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - ccc
2024-05-07 12:37:49.033 [main] [com.example.socketdemo.test.FTPTest] [23] INFO  - E:/ftp_test/
2024-05-07 12:37:49.046 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - aaa
2024-05-07 12:37:49.046 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - bbb
2024-05-07 12:37:49.046 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - ccc
2024-05-07 12:37:49.046 [main] [com.example.socketdemo.test.FTPTest] [31] INFO  - -----------
2024-05-07 12:37:49.046 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - aaa
2024-05-07 12:37:49.046 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - bbb
2024-05-07 12:37:49.046 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - ccc
2024-05-07 12:37:49.046 [main] [com.example.socketdemo.test.FTPTest] [31] INFO  - -----------
2024-05-07 12:37:49.046 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - 
2024-05-07 12:37:49.046 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - aaa
2024-05-07 12:37:49.046 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - bbb
2024-05-07 12:37:49.047 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - ccc
2024-05-07 12:37:49.047 [main] [com.example.socketdemo.test.FTPTest] [31] INFO  - -----------
2024-05-07 12:37:49.047 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - 
2024-05-07 12:37:49.047 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - aaa
2024-05-07 12:37:49.047 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - bbb
2024-05-07 12:37:49.047 [main] [com.example.socketdemo.test.FTPTest] [30] INFO  - ccc
2024-05-07 12:37:49.047 [main] [com.example.socketdemo.test.FTPTest] [31] INFO  - -----------
2024-05-07 12:40:16.444 [main] [com.example.socketdemo.test.FTPTest] [23] INFO  - E:/ftp_test/
2024-05-07 12:40:16.475 [main] [com.example.socketdemo.test.FTPTest] [31] INFO  - aaa
2024-05-07 12:40:16.476 [main] [com.example.socketdemo.test.FTPTest] [31] INFO  - bbb
